Bouchard,	MacLaren,
Bourassa,	McBride,
Bowen,	McGiverin,
Boys,	McKillop,
Brethen,	McMurray,
Brown,	Marcil (Bonaventure),
Bureau,	Mercier,
Chaplin,	Morin,
Chew,	Ouimet,
Clark,	Power,
Davies,	Pritchard,
Denis (St. Denis),	Putnam,
Deslauriers,	Raymond,
Drummond,	Reed,
Duff,	Rheaume,
Ethier,	Robitaille,
Findlay,	Seguin,
Fontaine,	Senn,
Forrester,	Sinclair (Oxford),
Fortier,	Stirling,
Garland (Carleton),	Stork,
Gendron,	Thompson,
Gould,	Tobin,
Hammell,	Wilson,
Harris,	Woods, and
Jones, Kay,	Woodsworth.-65. (Quorum 10) No. 4
ON STANDING ORDERS Messieurs	
Bmette,	Chew,
Black (Halifax),	Clifford,
Black (Huron),	Deslauriers,
Chaplin,	Desrochers,",,,,
726082,ca.proc.d.1925-02-19.2.1.2,1925-02-19,,,,stagedirection,,,,"Select Standing Committees
Doucet,	LeSueur,
Duff,	MacLaren,
Duncan,	Maclean (York),
Euler,	McTaggart,
Evans,	Mercier,
Gervais,	C/uimet,
Gould,	Parent,
Harris, i	Roberge,
Hodgins,	Robichaud,
Hughes,	Rvekman,
Kelly,	Steedsman, and
Lavigueur,	Stewart (Leeds).-33.
I.eader,	(Quorum 7) No. 5
ON PRINTING	
(Members to act <	Dn the part of the Commons) Messieurs
Baldwin,	Marcil (Bonaventure),
Casgrain,	Michaud,
Charters,	Murdock,
Chevrier,	Preston,
Coote,	Prevost,
Euler,	Raymond,
Fansher,	Rinfret,
Hocken,	Robichaud,
Humphrey,	St. Pere,
Jones,	Stirling, and
McConica, Malcolm,	Thurston.-23. No. 6
ON PUBLIC ACCOUNTS Messieurs	
Archambault,	LeSueur,
Beaubien,	Logan,
Boys,	Lewis,
Bvethen,	Macdonald (Fictou),
Bristol,	Mackinnon,
Cannon,	McCrea,
Cardin,	McGiverin,
Carroll,	Mclsaac,
Casgrain,	Me Master,
Chisholm,	Manion,
Clark,	Martell,
Coote,	Meighen,
Crerar,	Mewburn,
Drayton (Sir Henry),	Michaud,
Duff,	Papineau,
Elliott, (Dundas),	Parent,
Finn,	Pouliot,
Foike,	* Power,
Gardiner,	Prtston,
German,	Rheaume,
Good,	Ryckman,
Hanson,	Sheard,
Hudson,	Simpson,
Humphrey,	Steedsman,
Hushion,	Stewart (Leeds),
Jacobs,	Thurston,
Kelly,	Tobin,
Kennedy (Edmonton),	Tolmie,
King (Kootenay East)	, Vien,
Kyte,	Wallace, and
Lapierre, i	Ward.-62.
	(Quorum 21) No. 7
ON BANKING AND COMMERCE Messieurs	
Baxter,	Black (Halifax),
Benoit,	Black (Yukon),
Bird,	Boivin,
Bristol,	low.
Cahill,	McBride,
Caldwell,	Macdonald (Pictou),
Carmichael,	Mackinnon,
Carruthers,	Maclean (York),
Casgrain,	Macphail (Miss),
Chaplin,	McCrea,
Chevrier,	McKay,
Clark,	McMaster,
Clifford,	McMurray,
Coote,	McQuarrie,
Crerar,	McTaggart,
Desaulniers,	Malcolm,
Descoteaux,	Marler,
Drayton (Sir Henry),	Maybee,
Duncan,	Mewburn,
Elliott (Dundas),	Millar,
Elliott (Waterloo),	Morin,
EDer,	Papineau,
Fafard,	Power,
Fielding,	Rankin,
Fiset (Sir Eugene),	Pheaume,
Fortier,	Robb.
Garland (Bow River),	Robichaud,
German,	Robitaille,
Good,	Ryckman,
Grimmer,	Steedsman,
Guthrie,	St. Pere,
Planson,	Sales,
Harris,	Senn,
Hatfield,	Shaw,
Hcaly,	Sinclair (Queen's, P.E.I.).
Hodgins,	Sinclair (Oxford),
Hudson,	Speakman,
Hughes,	Spencer,
Hushion,	Stevens,
Irvine,	Stork,
Jacobs,	Tobin,
Jones,	Vien,
Kellner,	Ward.
King (Huron),	Woods, and
Ladner,	Woodsworth.-91.
I.afiamme,	
(Quorum 21)",,,,
726083,ca.proc.d.1925-02-19.3,1925-02-19,,,,topic,No. 8 ON AGRICULTURE AND COLONIZATION,,,,,,,
726084,ca.proc.d.1925-02-19.3.1.1,1925-02-19,,,,stagedirection,,,,"Messieurs
Anderson,	Doucet,
Arthurs,	Duncan,
Baldwin,	Evans,
Benoit,	Fafard,
Boivin,	Fontaine,
Boucher,	Forke,
Bouchard,	Forrester,
Bourassa,	Fortier,
Bowen,	Fournier,
Brcthen,	Garland (Carleton),
Brown,	Gendron,
Cahill,	Gervais,
Caldwell,	Gould,
Campbell,	Halbert,
Cardin,	Hanna,
Carruthers,	Hatfield,
Charters,	Hopkins,
Chew,	Hubbs,
Clifford,	Hunt,
Crerar,	Jelliff,
Davies,	Jones,
Dechene,	Kay,
Delisle,	Kennedy (Glengarry and
Denis (Joliette),	Stormont),
Denis (St. Denis),	Knox,
Desaulniers,	Laflamme,
Descoteaux,	Lanctot,
Desrochers,	Lapierre,

Select Standing Committees
Leader,	Raymond,
Lovett,	Reed,
Lrvie,	Roberge,
Lucas,	Robinson,
MacLean (Prince, P.E.I.), Ross (Simcoe),	
McConica,	Sales,
Mc-Crea,	Savard, .'
McKay,	Seguin,
McKillop,	Senn.
McMaster,	Sexsmith,
McMurray,	Simpson,
Malcolm,	Sinclair (Queen's, P.E.I.),
Mercile (Bagot),	Sinclair (Oxford),
Maybee,	Spence,
Millar,	Stansell,
Milne,	Stewart (Argenteuil),
Morin,	Stewart (Humboldt),
Morrison,	Stirling,
Motherwell,	Sutherland,
Munro,	Thompson,
Neill,	Thurston,
Ouiroet,	Tobin,
Preston,	Tolmie,
Pritchard,	Warner, and
Rankin,	White.-105. ''Quorum 12) No. 9",,,,
726085,ca.proc.d.1925-02-19.4,1925-02-19,,,,topic,ON MARINE AND FISHERIES,,,,,,,
726086,ca.proc.d.1925-02-19.4.1,1925-02-19,,,,subtopic,ON MARINE AND FISHERIES,No. 11 ON INDUSTRIAL AND INTERNATIONAL RELATIONS,,,,,,
726087,ca.proc.d.1925-02-19.4.1.1.1,1925-02-19,,,,stagedirection,,,,"Messieurs Ladner,
Lapointe,
Macdonald (Pictou), Malcolm,
Marcil (Bonaventure), Marler,
McDonald (Timiskaming), McKillop,
McTaggart,
Morin,
Murdock,
Prevost,
Rinfret,
Stewart (Hamilton), Tolmie,
White, and W oodsworth.-35.
Kennedy (Edmonton),
(Quorum 10)",,,,
726088,ca.proc.d.1925-02-19.5,1925-02-19,,,,topic,OFFICIAL REPORT OF DEBATES,,,,,,,
726089,ca.proc.d.1925-02-19.5.1.1,1925-02-19,,,,stagedirection,,,,"Messieurs
Black (Halifax), Cahill,
Caldwell,
Cannon,
Carroll,
Denis (Joliette), Deslauriers, Drummond, Finn,
Gervais,
Graham,
Grimmer,
Guthrie,
Halbert,
Healy,
Hoey,
Johnston,
Messieurs
Bancroft,
Campbell,
Cardin,
Chisholm,
Delisle,
Dickie,
Doucet,",,,,
726090,ca.proc.d.1925-02-19.5.1.2,1925-02-19,,,,stagedirection,,,,"Elliott (Dundas), Fournier,
Grimmer,
Hatfield,
Hoey,
Hubbs,
Hughes,
Kennedy (Port Arthur and Kenora), Lapointe,
Ladner,
MacLaren,
MacLean (Prince, P.E.I.), Mclsaac,
McQuarrie,
Martell,
Munro,
Neill,
Pelletier,
Pouliot,
Putnam,
Robichaud,
Ross (Simcoe),
Savard,
Snowball,
Spencer,
Stansell,
Stevens,
Stewart (Humboldt), and Stork.-37.
(Quorum 10)",,,,
726091,ca.proc.d.1925-02-19.5.1.3,1925-02-19,,,,stagedirection,,,,"ON MINES, FORESTS AND WATERS Messieurs
Arthurs,
Bird,
Black (Yukon), Boucher,
Carroll,
Carruthers,
Church,
Davies,
D6ch£ne,
Desaulniers,
Dickie,
Fiset (Sir Eugene), Forrester,
Garland (Bow River), Gendron,
Hanson,
Hunt,
Kelly,
Kennedy (Kenora),
Knox,
Lanctot,
Lapierre,
Logan,
Macphail (Miss), Manion,
McBride,
Michaud,
Munro,
Pelletier,
Power,
Roberge,
Ross (Kingston), Spence,
Stewart (Argenteuil), Stork,
Ward, and Warner.-37.
tm 10)
Boivin,
Ethier,
Fansher,
Gardiner,
Garland (Bow River) Hocken,
McGiverin,
Marcil (Bonaventure), Preston,
Prevost,
Rinfret,
Robinson, and Ross (Kingston).-13.
(Quorum 5)",,,,
726092,ca.proc.d.1925-02-19.6,1925-02-19,,,,topic,No. 13 ON THE LIBRARY,,,,,,,
726093,ca.proc.d.1925-02-19.6.1.1,1925-02-19,,,,stagedirection,,,,"(Members to act on the part of the Commons) Mr. Speaker and Messieurs
Beaubien,
Beland,
Carmichael,
Deslauriers,
Euler,
Garland (Carleton), Good,
Gouin (Sir Lomer), Hopkins,
King, Mackenzie (York), Lapointe,
Lovett,
Meighen,
Pouliot,
Pritchard,
Robinson,
Ross (Kingston), Sheard,
Sinclair (Oxford), Steedsman, and Walsh.-22.",,,,
726094,ca.proc.d.1925-02-19.7,1925-02-19,,,,topic,POWERS OF COMMITTEES,,,,,,,
726095,ca.proc.d.1925-02-19.7.1,1925-02-19,b11f5b30-7d32-44e6-b23c-a24561c1eaf5,ca.m.7719,Mr. MACKENZIE KING moved:,Prime Minister; President of the Privy Council; Secretary of State for External Affairs,POWERS OF COMMITTEES,,,"That the select standing committees of this House shall severally be empowered to examine and inquire into all such matters and thing* as may be referred to them by the House, and to report from time to time their observations and opinions thereon, with power to send for persons, papers and records.

",Liberal,,William Lyon Mackenzie King,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b11f5b30-7d32-44e6-b23c-a24561c1eaf5&Language=E&Section=ALL
726096,ca.proc.d.1925-02-19.7.2.1,1925-02-19,,,,stagedirection,,,,Motion agreed to.,,,,
726097,ca.proc.d.1925-02-19.7.2.2,1925-02-19,,,,stagedirection,,,,"Report of the Royal Canadian Mounted Police for the year ended September 30, 1924. -Hon. Mr. Lapointe.
Questions",,,,
726098,ca.proc.d.1925-02-19.8,1925-02-19,,,,topic,QUESTIONS,,,,,,,
726099,ca.proc.d.1925-02-19.8.1.1,1925-02-19,,,,stagedirection,,,,"(Questions answered orally are indicated by an asterisk).
CANADIAN GOVERNMENT MERCHANT MARINE Mr. MacLAREN:
1.	What ships of the Canadian Government Merchant Marine were employed in carrying freight from New London, Connecticut, overseas in 1924?
2.	What is the record of shipments, in carload quantities, of freight so carried, originating in Canada?",,,,
726100,ca.proc.d.1925-02-19.8.2,1925-02-19,,,,subtopic,QUESTIONS,UNEMPLOYMENT RELIEF,,,,,,
726101,ca.proc.d.1925-02-19.8.2.1,1925-02-19,39733e89-5c63-44ea-a981-bc71336702b7,ca.m.2365,,,QUESTIONS,UNEMPLOYMENT RELIEF,,"1.	What amount, if any, was paid out of the federal treasury for unemployment relief during each of the years ending March 31, 1923 and 1924?
2.	What amount was paid out during the said period in connection with the Department of Labour under the heading of Civil Government?
3.	What amount was paid out for the same periods for travelling expenses and disbursements of the Minister of Labour?
4.	How many delegates attended the conferences of Unemployment which assembled in Ottawa during each of the years referred to?
a.	Civil Government, Permanent,..
Temporary,..
b.	Agricultural Instruction Act.. .
c.	Entomology	
d.	Dairy, General	
e.	Cow Testing	
f.	Finch Creamery	
g.	Extension of Markets	
h.	Destructive Insect and Pest Act
i.	Production and Sale of Tobacco
j.	Fruit Industry	
k.	Animal Contagious Diseases.. .
l.	Meat and Canned Foods	
m.	Live Stock Industry	
n.	Seed Control

",Conservative (1867-1942),,Mr. SUTHERLAND:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=39733e89-5c63-44ea-a981-bc71336702b7&Language=E&Section=ALL
726102,ca.proc.d.1925-02-19.8.2.2,1925-02-19,651714ed-1fa2-4874-a656-3e55434ef8cc,ca.m.535,Hon. Mr. COPP:,Secretary of State of Canada,QUESTIONS,UNEMPLOYMENT RELIEF,,"Department of Labour-
1.	1922-23: $924,877.72; 1923-24: $4,273.83.
2.
1922-23	1923-24
(a) Salaries		$202,090 75 $ 164,551 87
(b) Contingencies .	22,220 32	23,198 75

3.	1922-23: See return July 3, 1924, presented by Mr. Copp, showing all ministers' travelling expenses from April 1, 1919; 192324: $1,670.
4.	1922-23: Two representatives of federal government; sixteen provincial delegates; there were also in attendance municipal and other representatives to the number of seventeen; 1923-24: No conference.
Department Soldiers' Civil Re-establishment
1.	1922-3, $1,038,163.35; 1923-4, $312,008.98.
2.	3 & 4. No information.

",Liberal,,Arthur Bliss Copp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=651714ed-1fa2-4874-a656-3e55434ef8cc&Language=E&Section=ALL
726103,ca.proc.d.1925-02-19.8.3,1925-02-19,,,,subtopic,QUESTIONS,DEPARTMENT OF AGRICULTURE-EMPLOYEES,,,,,,
726104,ca.proc.d.1925-02-19.8.3.1,1925-02-19,39733e89-5c63-44ea-a981-bc71336702b7,ca.m.2365,,,QUESTIONS,DEPARTMENT OF AGRICULTURE-EMPLOYEES,,"1.	What were the total number of employees, and the total salaries paid such employees on January 1, 1922, and 1925, in the following branches of the Department of Agriculture, giving the total number of employees and salaries for each branch, viz.: civil government, both permanent and temporary; agricultural instruction; entomology; dairy general; cow testing; Finch creamery; extension of markets; destructive insect and pest; production and sale of tobacco; fruit industry; contagious diseases; meat and canned foods division; live stock industry; seed control?
2.	Has there been one or more new branches added to the Department of Agriculture since January 1, 1922?
3.	If so, what are the names of same, and what number of employees are in each branch or branches so established, in detail, same as question No. 1?

",Conservative (1867-1942),,Mr. SUTHERLAND:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=39733e89-5c63-44ea-a981-bc71336702b7&Language=E&Section=ALL
726105,ca.proc.d.1925-02-19.8.3.2,1925-02-19,81e9d110-f6b1-4643-a4a5-d110dba9135f,ca.m.7827,,Minister of Agriculture,QUESTIONS,DEPARTMENT OF AGRICULTURE-EMPLOYEES,,"1.
January, 1922	January, 1925
No. of Employees	Salary	No. of Employees	Salary343	$45,329 00	384	$55,557 9138	2,316 00	35	2,467 871	185 00	-	-10	1,228 00	35	6,020 276	740 00	-	-2	215 00	-	-11	1.330 00	13	2.116 5061	8,265 00	88	11,967 736	785 00	9	1,490 0045	5,965 00	70	8,672 57184	25,597 00	227	34,205 58269	37,826 00	244	38.211 97148	19,859 00	204	28,842 2655	6,703 00	81	9,853 69
Questions
2.	Yes.
3.	Agricultural marketing agent in Great Britain, one employee; salary, January, 1925, $420.
Note:
(1)	""Cow Testing"" which, in 1922 was under the Daily and Cold Storage branch, was transferred to Live Stock in April, 1924, and expenditures in this connection for January, 1925, are therefore included under Live Stock Industry.
(2)	Salaries for entomology are paid from Civil Government.

",Liberal,,Hon. Mr. MOTHERWELL:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=81e9d110-f6b1-4643-a4a5-d110dba9135f&Language=E&Section=ALL
726106,ca.proc.d.1925-02-19.8.4,1925-02-19,,,,subtopic,QUESTIONS,CANADIAN EXPEDITIONARY FORCE-PENSIONS,,,,,,
726107,ca.proc.d.1925-02-19.8.4.1,1925-02-19,ffc0d86c-0b49-4d02-97fa-af4c40b96369,ca.m.5186,,,QUESTIONS,CANADIAN EXPEDITIONARY FORCE-PENSIONS,,"1.	How many members of the Canadian Expeditionary Force were pensioners in December 1921, (a) in Canada; (b) in United States of America; (c) in Great Britain?
2.	As above classified what were the numbers for December 1924?

",Conservative (1867-1942),,Mr. ARTHURS:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=ffc0d86c-0b49-4d02-97fa-af4c40b96369&Language=E&Section=ALL
726108,ca.proc.d.1925-02-19.8.4.2,1925-02-19,unmatched,,,,QUESTIONS,CANADIAN EXPEDITIONARY FORCE-PENSIONS,,"1. The date nearest to December 31, 1921, at which the desired information is available is March 31, 1922:
(a) Pensioners, March 31, 1922 Pensioned for
Disabilities Pensioned ex-members of as Depend- Total
C.EJF.	ents	PensionersCanada .. ..	37,697	13,855	51,552U.S.A	2,737	1.198	3,935Brit. Isles. ..	2,821	4.527	7,348Elsewhere ..	364	252	616Total..	43,619	19332	63,451Ob) Pensioners,	December 31	1924Canada .. ..	36,937	13,809	50,746U.S.A	3,992	1,439	5,431Brit. Isles	2,822	4.470	7.292Elsewhere ..	318	2S1	599Total..	44,069	19,999	64,068

",,,Hon. Mr. RELAND:,
726109,ca.proc.d.1925-02-19.8.5,1925-02-19,,,,subtopic,QUESTIONS,JAPANESE IMMIGRATION,,,,,,
726110,ca.proc.d.1925-02-19.8.5.1,1925-02-19,090c4da7-b949-45d0-b63f-39854ba32056,ca.m.2263,Mr. NEILL:,,QUESTIONS,JAPANESE IMMIGRATION,,"Is the government in a position to bring down any further correspondence, or to make an announcement of the result of any negotiation? carried on with the Japanese authorities as to further restrictions on Japanese Immigration referred to by the Premier in debate in this House on July 11, 1924?

",Progressive,,Alan Webster Neill,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=090c4da7-b949-45d0-b63f-39854ba32056&Language=E&Section=ALL
726111,ca.proc.d.1925-02-19.8.5.2,1925-02-19,b11f5b30-7d32-44e6-b23c-a24561c1eaf5,ca.m.7719,Right Hon. Mr. MACKENZIE KING:,Prime Minister; President of the Privy Council; Secretary of State for External Affairs,QUESTIONS,JAPANESE IMMIGRATION,,"Mr. Speaker, the government has no further correspondence to bring down at the present time, and no announcement to make.

",Liberal,,William Lyon Mackenzie King,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b11f5b30-7d32-44e6-b23c-a24561c1eaf5&Language=E&Section=ALL
726112,ca.proc.d.1925-02-19.8.6,1925-02-19,,,,subtopic,QUESTIONS,INSECTICIDE AND GERMICIDE DUSTS,,,,,,
726113,ca.proc.d.1925-02-19.8.6.1,1925-02-19,86e3595e-5183-4082-a8a0-e97816f55ca3,ca.m.774,Mr. ROBINSON:,,QUESTIONS,INSECTICIDE AND GERMICIDE DUSTS,,"Is it the intention of the government during the present session, to introduce legislation controlling the ingredients, and the percentage of such ingredients, used
in the manufacture and mixing of ""dusts"" for insecticides and germicides, as used in orchard culture?

",Liberal,,Clifford William Robinson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=86e3595e-5183-4082-a8a0-e97816f55ca3&Language=E&Section=ALL
726114,ca.proc.d.1925-02-19.8.6.2,1925-02-19,81e9d110-f6b1-4643-a4a5-d110dba9135f,ca.m.7827,Hon. Mr. MOTHERWELL:,Minister of Agriculture,QUESTIONS,INSECTICIDE AND GERMICIDE DUSTS,,"The introduction of a bill providing for the control of the composition, manufacture and sale of insecticides and fungicides is now under consideration.

",Liberal,,William Richard Motherwell,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=81e9d110-f6b1-4643-a4a5-d110dba9135f&Language=E&Section=ALL
726115,ca.proc.d.1925-02-19.8.7,1925-02-19,,,,subtopic,QUESTIONS,&quot;CANADA IS COMING THROUGH''-COST,,,,,,
726116,ca.proc.d.1925-02-19.8.7.1,1925-02-19,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,ca.m.1477,Hon. Mr. MANION:,,QUESTIONS,&quot;CANADA IS COMING THROUGH''-COST,,"What has bean the cost to the treasury to date of printing and publishing the advertisement ""Canada is Coming Through'' and what is the estimate of outstanding accounts?

",Conservative (1867-1942),,Robert James Manion,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4f144b8d-0f62-4502-b6eb-6bf2aa0faaad&Language=E&Section=ALL
726117,ca.proc.d.1925-02-19.8.7.2,1925-02-19,fe45cc27-e8e2-4fd4-b322-ff6ec72a5a88,ca.m.8295,Hon. Mr. LOW:,Minister of Trade and Commerce,QUESTIONS,&quot;CANADA IS COMING THROUGH''-COST,,"Up to date no accounts for printing and publishing the advertisement ""Canada is Coming Through"" have been paid. The total of the unpaid accounts amounts to $2,893.82. No accounts are outstanding.

",Liberal,,Thomas Andrew Low,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=fe45cc27-e8e2-4fd4-b322-ff6ec72a5a88&Language=E&Section=ALL
726118,ca.proc.d.1925-02-19.8.8,1925-02-19,,,,subtopic,QUESTIONS,PULPWOOD COMMISSION,,,,,,
726119,ca.proc.d.1925-02-19.8.8.1,1925-02-19,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,ca.m.1477,Hon. Mr. MANION:,,QUESTIONS,PULPWOOD COMMISSION,,"What was the total cost to the country of the Pulp-wood Commission ?

",Conservative (1867-1942),,Robert James Manion,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4f144b8d-0f62-4502-b6eb-6bf2aa0faaad&Language=E&Section=ALL
726120,ca.proc.d.1925-02-19.8.8.2,1925-02-19,3c716a03-43b1-401d-820f-7921b10e5565,ca.m.6937,Hon. Mr. ROBB:,Minister of Immigration and Colonization,QUESTIONS,PULPWOOD COMMISSION,,"

",Liberal,,James Alexander Robb,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3c716a03-43b1-401d-820f-7921b10e5565&Language=E&Section=ALL
726121,ca.proc.d.1925-02-19.8.9,1925-02-19,,,,subtopic,QUESTIONS,"$75,672.51. GRAIN INQUIRY COMMISSION",,,,,,
726122,ca.proc.d.1925-02-19.8.9.1,1925-02-19,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,ca.m.1477,Hon. Mr. MANION:,,QUESTIONS,"$75,672.51. GRAIN INQUIRY COMMISSION",,"What has been the cost to date of the Grain Inquiry
Commission which has just reported and what is the estimate of outstanding accounts?

",Conservative (1867-1942),,Robert James Manion,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4f144b8d-0f62-4502-b6eb-6bf2aa0faaad&Language=E&Section=ALL
726123,ca.proc.d.1925-02-19.8.9.2,1925-02-19,fe45cc27-e8e2-4fd4-b322-ff6ec72a5a88,ca.m.8295,Hon. Mr. LOW:,Minister of Trade and Commerce,QUESTIONS,"$75,672.51. GRAIN INQUIRY COMMISSION",,"Expenditure:-
June 30, 1923, to March 31,
1924		$ 107,612 01
April 1, 1924, to February 5,
1925		 59,994 88
Total	$ 167,606 89
Estimate of Outstanding Accounts:-
Accounts in department	$	2,097 07
Accounts not yet received....	3 93
Total	$	2,101 00

",Liberal,,Thomas Andrew Low,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=fe45cc27-e8e2-4fd4-b322-ff6ec72a5a88&Language=E&Section=ALL
726124,ca.proc.d.1925-02-19.8.10,1925-02-19,,,,subtopic,QUESTIONS,LUMBER PRODUCTS-EXPORTS,,,,,,
726125,ca.proc.d.1925-02-19.8.10.1,1925-02-19,1d94c4b4-8378-4f3c-9aa1-bdfa6e79bfab,ca.m.8970,,,QUESTIONS,LUMBER PRODUCTS-EXPORTS,,"1.	What quantity of logs was exported from the Dominion of Canada during the years 1922, 1923 and 1924?
2.	Prom what provinces did the above mentioned logs originate, and in what quantities?
3.	What quantity of puipwood was exported from the Dominion of Canada during the years 1922. 1923 and 1924?
4.	From what provinces did the above mentioned puipwood originate, and in what quantities.
5.	What quantity of manufactured pulp products was exported from the Dominion of Canada during the years 1922, 1923 and 1924.

Questions
6.	What quantity of pulpwood was used in the manufacture of the last mentioned articles during the years 1922, 1923 and 1524?
7.	What where the values of the products referred to in above paragraphs 1, 2, 3, 4, f arid 6?
8.	What quantity of lumber was exported from the Dominion of Canada during the years 1922, 1923 and 1924?
9.	From what provinces did the above mentioned lumber originate, and in what quantities?
10.	What were the values of the lumber exports referred to in above paragraphs 8 and 9?
Hon, Mr. LOW:
1. Exports of logs (Canadian produce) from Canada-
Fiscal years-	Quantity	Valueended March 31	M. Ft.	$1922	
156,911	2,766,5611923	
199,289	3,665,6701924	
329,182	6,090,9582.	Information not available.3.	Exports of pulpwood (Canadian produce) from Canada-Fiscal years-	Quantity	Valueended March 31	Cord	$1922	
825,967	9,879,1501923	
1,096,462	10,755,6551924	
1,444,693	14,322,7144.	Information not available.5.	Exports of Wood Pulp (Canadian produce) from Canada-
Fiscal years

	Quantity	Value
